timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], power.max_limit [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], pcie.link.gen.current, pcie.link.width.current
2026/09/21 11:51:10.922, 0, P8, 180 MHz, 405 MHz, 33.52 W, 600.00 W, 600.00 W, 32, 0 MiB, 0 %, 1, 16
2026/09/21 11:51:11.180, 0, P8, 180 MHz, 405 MHz, 33.52 W, 600.00 W, 600.00 W, 32, 1 MiB, 0 %, 1, 16
2026/09/21 11:51:11.431, 0, P0, 652 MHz, 12481 MHz, 39.65 W, 600.00 W, 600.00 W, 33, 595 MiB, 0 %, 5, 16
2026/09/21 11:51:11.681, 0, P0, 2362 MHz, 12481 MHz, 56.81 W, 600.00 W, 600.00 W, 33, 1491 MiB, 1 %, 5, 16
2026/09/21 11:51:11.932, 0, P0, 2362 MHz, 12481 MHz, 61.41 W, 600.00 W, 600.00 W, 34, 2419 MiB, 7 %, 5, 16
2026/09/21 11:51:12.183, 0, P0, 2362 MHz, 12481 MHz, 66.34 W, 600.00 W, 600.00 W, 34, 3347 MiB, 6 %, 5, 16
2026/09/21 11:51:12.433, 0, P0, 2362 MHz, 12481 MHz, 89.42 W, 600.00 W, 600.00 W, 34, 4211 MiB, 8 %, 5, 16
2026/09/21 11:51:12.683, 0, P0, 2362 MHz, 12481 MHz, 89.55 W, 600.00 W, 600.00 W, 34, 5139 MiB, 7 %, 5, 16
2026/09/21 11:51:12.934, 0, P0, 2362 MHz, 12481 MHz, 89.61 W, 600.00 W, 600.00 W, 34, 6067 MiB, 7 %, 5, 16
2026/09/21 11:51:13.184, 0, P0, 2362 MHz, 12481 MHz, 89.60 W, 600.00 W, 600.00 W, 34, 6931 MiB, 7 %, 5, 16
2026/09/21 11:51:13.435, 0, P0, 2362 MHz, 12481 MHz, 89.63 W, 600.00 W, 600.00 W, 34, 7827 MiB, 7 %, 5, 16
2026/09/21 11:51:13.685, 0, P0, 2362 MHz, 12481 MHz, 89.71 W, 600.00 W, 600.00 W, 34, 8691 MiB, 7 %, 5, 16
2026/09/21 11:51:13.936, 0, P0, 2362 MHz, 12481 MHz, 89.63 W, 600.00 W, 600.00 W, 34, 9619 MiB, 7 %, 5, 16
2026/09/21 11:51:14.186, 0, P0, 2362 MHz, 12481 MHz, 89.54 W, 600.00 W, 600.00 W, 34, 10483 MiB, 7 %, 5, 16
2026/09/21 11:51:14.437, 0, P0, 2362 MHz, 12481 MHz, 89.63 W, 600.00 W, 600.00 W, 34, 11411 MiB, 7 %, 5, 16
2026/09/21 11:51:14.687, 0, P0, 2362 MHz, 12481 MHz, 89.64 W, 600.00 W, 600.00 W, 34, 12339 MiB, 7 %, 5, 16
2026/09/21 11:51:14.937, 0, P0, 2362 MHz, 12481 MHz, 89.65 W, 600.00 W, 600.00 W, 34, 13203 MiB, 7 %, 5, 16
2026/09/21 11:51:15.188, 0, P0, 2362 MHz, 12481 MHz, 89.80 W, 600.00 W, 600.00 W, 34, 14131 MiB, 8 %, 5, 16
2026/09/21 11:51:15.438, 0, P0, 2362 MHz, 12481 MHz, 89.73 W, 600.00 W, 600.00 W, 34, 14739 MiB, 7 %, 5, 16
2026/09/21 11:51:15.689, 0, P0, 2362 MHz, 12481 MHz, 89.24 W, 600.00 W, 600.00 W, 34, 14739 MiB, 0 %, 5, 16
2026/09/21 11:51:15.939, 0, P0, 2362 MHz, 12481 MHz, 88.95 W, 600.00 W, 600.00 W, 34, 14739 MiB, 0 %, 5, 16
2026/09/21 11:51:16.189, 0, P0, 2362 MHz, 12481 MHz, 88.44 W, 600.00 W, 600.00 W, 34, 14739 MiB, 0 %, 5, 16
2026/09/21 11:51:16.440, 0, P0, 2362 MHz, 12481 MHz, 88.13 W, 600.00 W, 600.00 W, 34, 14739 MiB, 0 %, 5, 16
2026/09/21 11:51:16.690, 0, P0, 2362 MHz, 12481 MHz, 88.13 W, 600.00 W, 600.00 W, 34, 14739 MiB, 0 %, 5, 16
2026/09/21 11:51:16.940, 0, P0, 2362 MHz, 12481 MHz, 88.13 W, 600.00 W, 600.00 W, 34, 14739 MiB, 0 %, 5, 16
2026/09/21 11:51:17.191, 0, P0, 2362 MHz, 12481 MHz, 123.77 W, 600.00 W, 600.00 W, 39, 16979 MiB, 0 %, 5, 16
2026/09/21 11:51:17.442, 0, P0, 2362 MHz, 12481 MHz, 196.44 W, 600.00 W, 600.00 W, 45, 16979 MiB, 100 %, 5, 16
2026/09/21 11:51:17.692, 0, P0, 2400 MHz, 12481 MHz, 218.00 W, 600.00 W, 600.00 W, 38, 16979 MiB, 61 %, 5, 16
2026/09/21 11:51:17.942, 0, P0, 2347 MHz, 12481 MHz, 200.99 W, 600.00 W, 600.00 W, 36, 16979 MiB, 0 %, 5, 16
2026/09/21 11:51:18.193, 0, P0, 2355 MHz, 12481 MHz, 270.84 W, 600.00 W, 600.00 W, 42, 17267 MiB, 0 %, 5, 16
2026/09/21 11:51:18.443, 0, P0, 2377 MHz, 12481 MHz, 264.83 W, 600.00 W, 600.00 W, 45, 17267 MiB, 100 %, 5, 16
2026/09/21 11:51:18.694, 0, P0, 2392 MHz, 12481 MHz, 255.57 W, 600.00 W, 600.00 W, 38, 17267 MiB, 38 %, 5, 16
2026/09/21 11:51:18.945, 0, P0, 2347 MHz, 12481 MHz, 252.34 W, 600.00 W, 600.00 W, 37, 17267 MiB, 0 %, 5, 16
2026/09/21 11:51:19.195, 0, P0, 2355 MHz, 12481 MHz, 214.07 W, 600.00 W, 600.00 W, 36, 17267 MiB, 0 %, 5, 16
2026/09/21 11:51:19.445, 0, P0, 2355 MHz, 12481 MHz, 172.26 W, 600.00 W, 600.00 W, 40, 17715 MiB, 0 %, 5, 16
2026/09/21 11:51:19.696, 0, P0, 2392 MHz, 12481 MHz, 235.55 W, 600.00 W, 600.00 W, 47, 17715 MiB, 100 %, 5, 16
2026/09/21 11:51:19.947, 0, P0, 2407 MHz, 12481 MHz, 263.57 W, 600.00 W, 600.00 W, 40, 17715 MiB, 74 %, 5, 16
2026/09/21 11:51:20.197, 0, P0, 2347 MHz, 12481 MHz, 263.67 W, 600.00 W, 600.00 W, 37, 17715 MiB, 0 %, 5, 16
2026/09/21 11:51:20.447, 0, P0, 2355 MHz, 12481 MHz, 270.01 W, 600.00 W, 600.00 W, 42, 17715 MiB, 0 %, 5, 16
2026/09/21 11:51:20.698, 0, P0, 2400 MHz, 12481 MHz, 268.99 W, 600.00 W, 600.00 W, 47, 17715 MiB, 100 %, 5, 16
2026/09/21 11:51:20.949, 0, P0, 2392 MHz, 12481 MHz, 263.31 W, 600.00 W, 600.00 W, 40, 17715 MiB, 60 %, 5, 16
2026/09/21 11:51:21.199, 0, P0, 2347 MHz, 12481 MHz, 263.26 W, 600.00 W, 600.00 W, 37, 17715 MiB, 0 %, 5, 16
2026/09/21 11:51:21.449, 0, P0, 2355 MHz, 12481 MHz, 234.21 W, 600.00 W, 600.00 W, 37, 17715 MiB, 0 %, 5, 16
2026/09/21 11:51:21.700, 0, P0, 2347 MHz, 12481 MHz, 180.52 W, 600.00 W, 600.00 W, 45, 17843 MiB, 82 %, 5, 16
2026/09/21 11:51:21.951, 0, P0, 2407 MHz, 12481 MHz, 227.81 W, 600.00 W, 600.00 W, 48, 17843 MiB, 100 %, 5, 16
2026/09/21 11:51:22.203, 0, P0, 2407 MHz, 12481 MHz, 278.47 W, 600.00 W, 600.00 W, 40, 17843 MiB, 97 %, 5, 16
2026/09/21 11:51:22.453, 0, P0, 2355 MHz, 12481 MHz, 278.54 W, 600.00 W, 600.00 W, 38, 17843 MiB, 0 %, 5, 16
2026/09/21 11:51:22.704, 0, P0, 2355 MHz, 12481 MHz, 269.78 W, 600.00 W, 600.00 W, 45, 17843 MiB, 60 %, 5, 16
2026/09/21 11:51:22.954, 0, P0, 2392 MHz, 12481 MHz, 274.77 W, 600.00 W, 600.00 W, 48, 17843 MiB, 100 %, 5, 16
2026/09/21 11:51:23.205, 0, P0, 2415 MHz, 12481 MHz, 278.16 W, 600.00 W, 600.00 W, 41, 17843 MiB, 98 %, 5, 16
2026/09/21 11:51:23.455, 0, P0, 2355 MHz, 12481 MHz, 278.09 W, 600.00 W, 600.00 W, 38, 17843 MiB, 0 %, 5, 16
2026/09/21 11:51:23.705, 0, P0, 2355 MHz, 12481 MHz, 230.34 W, 600.00 W, 600.00 W, 38, 17843 MiB, 0 %, 5, 16
2026/09/21 11:51:23.956, 0, P0, 2355 MHz, 12481 MHz, 172.39 W, 600.00 W, 600.00 W, 38, 17971 MiB, 0 %, 5, 16
2026/09/21 11:51:24.206, 0, P0, 2392 MHz, 12481 MHz, 232.17 W, 600.00 W, 600.00 W, 49, 17971 MiB, 100 %, 5, 16
2026/09/21 11:51:24.457, 0, P0, 2422 MHz, 12481 MHz, 282.77 W, 600.00 W, 600.00 W, 44, 17971 MiB, 100 %, 5, 16
2026/09/21 11:51:24.707, 0, P0, 2377 MHz, 12481 MHz, 287.10 W, 600.00 W, 600.00 W, 39, 17971 MiB, 0 %, 5, 16
2026/09/21 11:51:24.957, 0, P0, 2355 MHz, 12481 MHz, 269.43 W, 600.00 W, 600.00 W, 38, 17971 MiB, 0 %, 5, 16
2026/09/21 11:51:25.208, 0, P0, 2385 MHz, 12481 MHz, 270.05 W, 600.00 W, 600.00 W, 48, 17971 MiB, 100 %, 5, 16
2026/09/21 11:51:25.459, 0, P0, 2422 MHz, 12481 MHz, 281.19 W, 600.00 W, 600.00 W, 46, 17971 MiB, 100 %, 5, 16
2026/09/21 11:51:25.709, 0, P0, 2385 MHz, 12481 MHz, 283.58 W, 600.00 W, 600.00 W, 39, 17971 MiB, 0 %, 5, 16
2026/09/21 11:51:25.959, 0, P0, 2355 MHz, 12481 MHz, 283.63 W, 600.00 W, 600.00 W, 39, 17971 MiB, 0 %, 5, 16
2026/09/21 11:51:26.210, 0, P0, 2355 MHz, 12481 MHz, 162.76 W, 600.00 W, 600.00 W, 38, 17971 MiB, 0 %, 5, 16
2026/09/21 11:51:26.460, 0, P0, 2355 MHz, 12481 MHz, 101.43 W, 600.00 W, 600.00 W, 38, 20563 MiB, 0 %, 5, 16
2026/09/21 11:51:26.710, 0, P0, 2377 MHz, 12481 MHz, 198.36 W, 600.00 W, 600.00 W, 49, 20563 MiB, 100 %, 5, 16
2026/09/21 11:51:26.961, 0, P0, 2422 MHz, 12481 MHz, 278.08 W, 600.00 W, 600.00 W, 49, 20563 MiB, 100 %, 5, 16
2026/09/21 11:51:27.212, 0, P0, 2422 MHz, 12481 MHz, 398.91 W, 600.00 W, 600.00 W, 50, 20563 MiB, 100 %, 5, 16
2026/09/21 11:51:27.463, 0, P0, 2422 MHz, 12481 MHz, 471.35 W, 600.00 W, 600.00 W, 51, 20563 MiB, 100 %, 5, 16
2026/09/21 11:51:27.714, 0, P0, 2422 MHz, 12481 MHz, 490.86 W, 600.00 W, 600.00 W, 51, 20595 MiB, 100 %, 5, 16
2026/09/21 11:51:27.964, 0, P0, 2422 MHz, 12481 MHz, 491.12 W, 600.00 W, 600.00 W, 51, 20595 MiB, 100 %, 5, 16
2026/09/21 11:51:28.215, 0, P0, 2422 MHz, 12481 MHz, 490.94 W, 600.00 W, 600.00 W, 51, 20595 MiB, 100 %, 5, 16
2026/09/21 11:51:28.466, 0, P0, 2422 MHz, 12481 MHz, 490.46 W, 600.00 W, 600.00 W, 50, 20595 MiB, 100 %, 5, 16
2026/09/21 11:51:28.716, 0, P0, 2422 MHz, 12481 MHz, 488.84 W, 600.00 W, 600.00 W, 51, 20595 MiB, 100 %, 5, 16
2026/09/21 11:51:28.967, 0, P0, 2422 MHz, 12481 MHz, 482.42 W, 600.00 W, 600.00 W, 51, 20595 MiB, 99 %, 5, 16
2026/09/21 11:51:29.217, 0, P0, 2422 MHz, 12481 MHz, 473.20 W, 600.00 W, 600.00 W, 51, 20595 MiB, 99 %, 5, 16
2026/09/21 11:51:29.468, 0, P0, 2415 MHz, 12481 MHz, 462.35 W, 600.00 W, 600.00 W, 51, 20595 MiB, 99 %, 5, 16
2026/09/21 11:51:29.718, 0, P0, 2415 MHz, 12481 MHz, 406.08 W, 600.00 W, 600.00 W, 45, 20595 MiB, 85 %, 5, 16
2026/09/21 11:51:29.969, 0, P0, 2385 MHz, 12481 MHz, 333.88 W, 600.00 W, 600.00 W, 42, 20595 MiB, 0 %, 5, 16
2026/09/21 11:51:30.219, 0, P0, 2355 MHz, 12481 MHz, 220.95 W, 600.00 W, 600.00 W, 41, 20595 MiB, 0 %, 5, 16
2026/09/21 11:51:30.469, 0, P0, 2355 MHz, 12481 MHz, 152.80 W, 600.00 W, 600.00 W, 41, 20595 MiB, 0 %, 5, 16
2026/09/21 11:51:30.720, 0, P0, 2355 MHz, 12481 MHz, 123.33 W, 600.00 W, 600.00 W, 44, 21011 MiB, 6 %, 5, 16
2026/09/21 11:51:30.971, 0, P0, 2392 MHz, 12481 MHz, 203.76 W, 600.00 W, 600.00 W, 51, 21011 MiB, 100 %, 5, 16
2026/09/21 11:51:31.222, 0, P0, 2422 MHz, 12481 MHz, 323.35 W, 600.00 W, 600.00 W, 52, 21011 MiB, 100 %, 5, 16
2026/09/21 11:51:31.473, 0, P0, 2422 MHz, 12481 MHz, 403.30 W, 600.00 W, 600.00 W, 51, 21011 MiB, 100 %, 5, 16
2026/09/21 11:51:31.723, 0, P0, 2422 MHz, 12481 MHz, 492.22 W, 600.00 W, 600.00 W, 52, 21235 MiB, 100 %, 5, 16
2026/09/21 11:51:31.974, 0, P0, 2422 MHz, 12481 MHz, 491.68 W, 600.00 W, 600.00 W, 52, 21235 MiB, 100 %, 5, 16
2026/09/21 11:51:32.224, 0, P0, 2422 MHz, 12481 MHz, 492.30 W, 600.00 W, 600.00 W, 52, 21235 MiB, 100 %, 5, 16
2026/09/21 11:51:32.475, 0, P0, 2422 MHz, 12481 MHz, 492.36 W, 600.00 W, 600.00 W, 52, 21235 MiB, 100 %, 5, 16
2026/09/21 11:51:32.725, 0, P0, 2422 MHz, 12481 MHz, 492.48 W, 600.00 W, 600.00 W, 53, 21235 MiB, 100 %, 5, 16
2026/09/21 11:51:32.976, 0, P0, 2422 MHz, 12481 MHz, 491.79 W, 600.00 W, 600.00 W, 53, 21235 MiB, 100 %, 5, 16
2026/09/21 11:51:33.226, 0, P0, 2422 MHz, 12481 MHz, 481.89 W, 600.00 W, 600.00 W, 53, 21235 MiB, 99 %, 5, 16
2026/09/21 11:51:33.477, 0, P0, 2415 MHz, 12481 MHz, 476.77 W, 600.00 W, 600.00 W, 53, 21235 MiB, 99 %, 5, 16
2026/09/21 11:51:33.728, 0, P0, 2415 MHz, 12481 MHz, 469.48 W, 600.00 W, 600.00 W, 53, 21235 MiB, 99 %, 5, 16
2026/09/21 11:51:33.978, 0, P0, 2415 MHz, 12481 MHz, 431.01 W, 600.00 W, 600.00 W, 48, 21235 MiB, 97 %, 5, 16
2026/09/21 11:51:34.229, 0, P0, 2407 MHz, 12481 MHz, 322.17 W, 600.00 W, 600.00 W, 43, 21235 MiB, 0 %, 5, 16
2026/09/21 11:51:34.480, 0, P0, 2355 MHz, 12481 MHz, 245.52 W, 600.00 W, 600.00 W, 43, 21235 MiB, 0 %, 5, 16
2026/09/21 11:51:34.730, 0, P0, 2355 MHz, 12481 MHz, 138.85 W, 600.00 W, 600.00 W, 42, 21235 MiB, 0 %, 5, 16
2026/09/21 11:51:34.980, 0, P0, 2355 MHz, 12481 MHz, 110.94 W, 600.00 W, 600.00 W, 42, 21619 MiB, 0 %, 5, 16
2026/09/21 11:51:35.231, 0, P0, 2400 MHz, 12481 MHz, 232.01 W, 600.00 W, 600.00 W, 53, 21619 MiB, 100 %, 5, 16
2026/09/21 11:51:35.483, 0, P0, 2422 MHz, 12481 MHz, 307.94 W, 600.00 W, 600.00 W, 53, 21619 MiB, 100 %, 5, 16
2026/09/21 11:51:35.733, 0, P0, 2422 MHz, 12481 MHz, 433.06 W, 600.00 W, 600.00 W, 53, 21619 MiB, 100 %, 5, 16
2026/09/21 11:51:35.984, 0, P0, 2422 MHz, 12481 MHz, 494.93 W, 600.00 W, 600.00 W, 54, 21651 MiB, 100 %, 5, 16
2026/09/21 11:51:36.236, 0, P0, 2422 MHz, 12481 MHz, 494.33 W, 600.00 W, 600.00 W, 53, 21651 MiB, 100 %, 5, 16
2026/09/21 11:51:36.486, 0, P0, 2422 MHz, 12481 MHz, 494.44 W, 600.00 W, 600.00 W, 55, 21651 MiB, 100 %, 5, 16
2026/09/21 11:51:36.737, 0, P0, 2422 MHz, 12481 MHz, 493.95 W, 600.00 W, 600.00 W, 54, 21651 MiB, 100 %, 5, 16
2026/09/21 11:51:36.988, 0, P0, 2422 MHz, 12481 MHz, 494.79 W, 600.00 W, 600.00 W, 55, 21651 MiB, 100 %, 5, 16
2026/09/21 11:51:37.240, 0, P0, 2422 MHz, 12481 MHz, 491.15 W, 600.00 W, 600.00 W, 54, 21651 MiB, 100 %, 5, 16
2026/09/21 11:51:37.490, 0, P0, 2415 MHz, 12481 MHz, 482.87 W, 600.00 W, 600.00 W, 54, 21651 MiB, 99 %, 5, 16
2026/09/21 11:51:37.741, 0, P0, 2415 MHz, 12481 MHz, 476.43 W, 600.00 W, 600.00 W, 54, 21651 MiB, 99 %, 5, 16
2026/09/21 11:51:37.991, 0, P0, 2415 MHz, 12481 MHz, 462.98 W, 600.00 W, 600.00 W, 54, 21651 MiB, 99 %, 5, 16
2026/09/21 11:51:38.243, 0, P0, 2422 MHz, 12481 MHz, 425.08 W, 600.00 W, 600.00 W, 49, 21651 MiB, 99 %, 5, 16
2026/09/21 11:51:38.493, 0, P0, 2422 MHz, 12481 MHz, 314.21 W, 600.00 W, 600.00 W, 44, 21651 MiB, 0 %, 5, 16
2026/09/21 11:51:38.743, 0, P0, 2422 MHz, 12481 MHz, 241.34 W, 600.00 W, 600.00 W, 44, 21651 MiB, 0 %, 5, 16
2026/09/21 11:51:38.994, 0, P0, 2385 MHz, 12481 MHz, 132.22 W, 600.00 W, 600.00 W, 44, 21651 MiB, 0 %, 5, 16
2026/09/21 11:51:39.244, 0, P0, 2355 MHz, 12481 MHz, 96.17 W, 600.00 W, 600.00 W, 43, 21683 MiB, 0 %, 5, 16
2026/09/21 11:51:39.495, 0, P0, 2377 MHz, 12481 MHz, 218.15 W, 600.00 W, 600.00 W, 54, 21683 MiB, 100 %, 5, 16
2026/09/21 11:51:39.745, 0, P0, 2422 MHz, 12481 MHz, 299.65 W, 600.00 W, 600.00 W, 55, 21683 MiB, 100 %, 5, 16
2026/09/21 11:51:39.996, 0, P0, 2422 MHz, 12481 MHz, 420.56 W, 600.00 W, 600.00 W, 55, 21683 MiB, 100 %, 5, 16
2026/09/21 11:51:40.247, 0, P0, 2422 MHz, 12481 MHz, 497.07 W, 600.00 W, 600.00 W, 55, 21683 MiB, 100 %, 5, 16
2026/09/21 11:51:40.497, 0, P0, 2422 MHz, 12481 MHz, 496.62 W, 600.00 W, 600.00 W, 54, 21715 MiB, 100 %, 5, 16
2026/09/21 11:51:40.748, 0, P0, 2422 MHz, 12481 MHz, 496.86 W, 600.00 W, 600.00 W, 56, 21715 MiB, 100 %, 5, 16
2026/09/21 11:51:40.998, 0, P0, 2422 MHz, 12481 MHz, 496.55 W, 600.00 W, 600.00 W, 56, 21715 MiB, 100 %, 5, 16
2026/09/21 11:51:41.249, 0, P0, 2422 MHz, 12481 MHz, 497.12 W, 600.00 W, 600.00 W, 56, 21715 MiB, 100 %, 5, 16
2026/09/21 11:51:41.499, 0, P0, 2422 MHz, 12481 MHz, 495.18 W, 600.00 W, 600.00 W, 55, 21715 MiB, 100 %, 5, 16
2026/09/21 11:51:41.750, 0, P0, 2422 MHz, 12481 MHz, 489.62 W, 600.00 W, 600.00 W, 55, 21715 MiB, 99 %, 5, 16
2026/09/21 11:51:42.000, 0, P0, 2415 MHz, 12481 MHz, 480.20 W, 600.00 W, 600.00 W, 55, 21715 MiB, 99 %, 5, 16
2026/09/21 11:51:42.251, 0, P0, 2415 MHz, 12481 MHz, 474.43 W, 600.00 W, 600.00 W, 56, 21715 MiB, 99 %, 5, 16
2026/09/21 11:51:42.501, 0, P0, 2415 MHz, 12481 MHz, 435.94 W, 600.00 W, 600.00 W, 52, 21715 MiB, 98 %, 5, 16
2026/09/21 11:51:42.752, 0, P0, 2415 MHz, 12481 MHz, 362.15 W, 600.00 W, 600.00 W, 46, 21715 MiB, 0 %, 5, 16
2026/09/21 11:51:43.002, 0, P0, 2422 MHz, 12481 MHz, 250.61 W, 600.00 W, 600.00 W, 45, 21715 MiB, 0 %, 5, 16
2026/09/21 11:51:43.252, 0, P0, 2422 MHz, 12481 MHz, 175.15 W, 600.00 W, 600.00 W, 45, 21715 MiB, 0 %, 5, 16
2026/09/21 11:51:43.503, 0, P0, 2422 MHz, 12481 MHz, 95.16 W, 600.00 W, 600.00 W, 44, 21715 MiB, 0 %, 5, 16
2026/09/21 11:51:43.753, 0, P0, 2422 MHz, 12481 MHz, 175.57 W, 600.00 W, 600.00 W, 54, 21715 MiB, 100 %, 5, 16
2026/09/21 11:51:44.004, 0, P0, 2422 MHz, 12481 MHz, 307.54 W, 600.00 W, 600.00 W, 56, 21715 MiB, 100 %, 5, 16
2026/09/21 11:51:44.254, 0, P0, 2422 MHz, 12481 MHz, 381.43 W, 600.00 W, 600.00 W, 55, 21715 MiB, 100 %, 5, 16
2026/09/21 11:51:44.505, 0, P0, 2422 MHz, 12481 MHz, 497.12 W, 600.00 W, 600.00 W, 56, 21715 MiB, 100 %, 5, 16
2026/09/21 11:51:44.755, 0, P0, 2422 MHz, 12481 MHz, 497.80 W, 600.00 W, 600.00 W, 56, 21747 MiB, 100 %, 5, 16
2026/09/21 11:51:45.006, 0, P0, 2422 MHz, 12481 MHz, 497.20 W, 600.00 W, 600.00 W, 56, 21747 MiB, 100 %, 5, 16
2026/09/21 11:51:45.256, 0, P0, 2422 MHz, 12481 MHz, 498.34 W, 600.00 W, 600.00 W, 55, 21747 MiB, 100 %, 5, 16
2026/09/21 11:51:45.508, 0, P0, 2422 MHz, 12481 MHz, 497.99 W, 600.00 W, 600.00 W, 56, 21747 MiB, 100 %, 5, 16
2026/09/21 11:51:45.758, 0, P0, 2422 MHz, 12481 MHz, 498.41 W, 600.00 W, 600.00 W, 56, 21747 MiB, 100 %, 5, 16
2026/09/21 11:51:46.009, 0, P0, 2422 MHz, 12481 MHz, 490.24 W, 600.00 W, 600.00 W, 56, 21747 MiB, 99 %, 5, 16
2026/09/21 11:51:46.259, 0, P0, 2415 MHz, 12481 MHz, 484.29 W, 600.00 W, 600.00 W, 56, 21747 MiB, 99 %, 5, 16
2026/09/21 11:51:46.510, 0, P0, 2415 MHz, 12481 MHz, 474.41 W, 600.00 W, 600.00 W, 56, 21747 MiB, 99 %, 5, 16
2026/09/21 11:51:46.761, 0, P0, 2415 MHz, 12481 MHz, 461.04 W, 600.00 W, 600.00 W, 55, 21747 MiB, 99 %, 5, 16
2026/09/21 11:51:47.011, 0, P0, 2415 MHz, 12481 MHz, 363.77 W, 600.00 W, 600.00 W, 47, 21747 MiB, 52 %, 5, 16
2026/09/21 11:51:47.261, 0, P0, 2422 MHz, 12481 MHz, 286.89 W, 600.00 W, 600.00 W, 46, 21747 MiB, 0 %, 5, 16
2026/09/21 11:51:47.512, 0, P0, 2422 MHz, 12481 MHz, 178.98 W, 600.00 W, 600.00 W, 45, 21747 MiB, 0 %, 5, 16
2026/09/21 11:51:47.762, 0, P0, 2422 MHz, 12481 MHz, 104.07 W, 600.00 W, 600.00 W, 45, 21747 MiB, 0 %, 5, 16
2026/09/21 11:51:48.013, 0, P0, 2422 MHz, 12481 MHz, 171.96 W, 600.00 W, 600.00 W, 53, 21747 MiB, 40 %, 5, 16
2026/09/21 11:51:48.263, 0, P0, 2422 MHz, 12481 MHz, 263.32 W, 600.00 W, 600.00 W, 56, 21747 MiB, 100 %, 5, 16
2026/09/21 11:51:48.514, 0, P0, 2422 MHz, 12481 MHz, 387.35 W, 600.00 W, 600.00 W, 57, 21747 MiB, 100 %, 5, 16
2026/09/21 11:51:48.764, 0, P0, 2422 MHz, 12481 MHz, 469.99 W, 600.00 W, 600.00 W, 56, 21747 MiB, 100 %, 5, 16
2026/09/21 11:51:49.014, 0, P0, 2422 MHz, 12481 MHz, 499.46 W, 600.00 W, 600.00 W, 57, 21747 MiB, 100 %, 5, 16
2026/09/21 11:51:49.265, 0, P0, 2422 MHz, 12481 MHz, 498.84 W, 600.00 W, 600.00 W, 56, 21747 MiB, 100 %, 5, 16
2026/09/21 11:51:49.516, 0, P0, 2422 MHz, 12481 MHz, 498.76 W, 600.00 W, 600.00 W, 58, 21747 MiB, 100 %, 5, 16
2026/09/21 11:51:49.766, 0, P0, 2422 MHz, 12481 MHz, 499.31 W, 600.00 W, 600.00 W, 58, 21747 MiB, 100 %, 5, 16
2026/09/21 11:51:50.017, 0, P0, 2422 MHz, 12481 MHz, 499.35 W, 600.00 W, 600.00 W, 58, 21747 MiB, 100 %, 5, 16
2026/09/21 11:51:50.267, 0, P0, 2422 MHz, 12481 MHz, 492.24 W, 600.00 W, 600.00 W, 57, 21747 MiB, 100 %, 5, 16
2026/09/21 11:51:50.518, 0, P0, 2415 MHz, 12481 MHz, 483.50 W, 600.00 W, 600.00 W, 57, 21747 MiB, 99 %, 5, 16
2026/09/21 11:51:50.768, 0, P0, 2415 MHz, 12481 MHz, 477.46 W, 600.00 W, 600.00 W, 57, 21747 MiB, 99 %, 5, 16
2026/09/21 11:51:51.019, 0, P0, 2415 MHz, 12481 MHz, 466.30 W, 600.00 W, 600.00 W, 57, 21747 MiB, 99 %, 5, 16
2026/09/21 11:51:51.269, 0, P0, 2415 MHz, 12481 MHz, 438.70 W, 600.00 W, 600.00 W, 52, 21747 MiB, 99 %, 5, 16
2026/09/21 11:51:51.520, 0, P0, 2422 MHz, 12481 MHz, 324.33 W, 600.00 W, 600.00 W, 47, 21747 MiB, 0 %, 5, 16
2026/09/21 11:51:51.770, 0, P0, 2422 MHz, 12481 MHz, 252.10 W, 600.00 W, 600.00 W, 46, 21747 MiB, 0 %, 5, 16
2026/09/21 11:51:52.020, 0, P0, 2422 MHz, 12481 MHz, 141.94 W, 600.00 W, 600.00 W, 46, 21747 MiB, 0 %, 5, 16
2026/09/21 11:51:52.271, 0, P0, 2422 MHz, 12481 MHz, 95.37 W, 600.00 W, 600.00 W, 46, 21747 MiB, 0 %, 5, 16
2026/09/21 11:51:52.521, 0, P0, 2422 MHz, 12481 MHz, 215.10 W, 600.00 W, 600.00 W, 56, 21747 MiB, 100 %, 5, 16
2026/09/21 11:51:52.772, 0, P0, 2422 MHz, 12481 MHz, 299.95 W, 600.00 W, 600.00 W, 56, 21747 MiB, 100 %, 5, 16
2026/09/21 11:51:53.022, 0, P0, 2422 MHz, 12481 MHz, 424.26 W, 600.00 W, 600.00 W, 57, 21747 MiB, 100 %, 5, 16
2026/09/21 11:51:53.273, 0, P0, 2422 MHz, 12481 MHz, 499.46 W, 600.00 W, 600.00 W, 58, 21747 MiB, 100 %, 5, 16
2026/09/21 11:51:53.525, 0, P0, 2422 MHz, 12481 MHz, 500.04 W, 600.00 W, 600.00 W, 58, 21747 MiB, 100 %, 5, 16
2026/09/21 11:51:53.775, 0, P0, 2422 MHz, 12481 MHz, 500.66 W, 600.00 W, 600.00 W, 58, 21747 MiB, 100 %, 5, 16
2026/09/21 11:51:54.026, 0, P0, 2422 MHz, 12481 MHz, 500.77 W, 600.00 W, 600.00 W, 57, 21747 MiB, 100 %, 5, 16
